,title,date,keywords_textrank,ai_entity,day,month,year,status
1474,Why Solving a Rubik's Cube Does Not Signal Robot Supremacy,2019-10-16,"['robot', 'robotic', 'cube', 'video', 'manipulation', 'manipulate', 'manipulates', 'dactyl']",robotics,16,10,2019,precovid
1475,UK’s Department for Work and Pensions explores using AI to judge benefit claims,2019-10-16,"['dwp', 'expo', 'ai', 'case', 'human', 'humanity']",semantic search,16,10,2019,precovid
1476,The Delicate Ethics of Using Facial Recognition in Schools,2019-10-17,"['steamy evening', 'important tool respond']",speech generating device,17,10,2019,precovid
1477,Better fact-checking for fake news,2019-10-17,"['research', 'researcher', 'team', 'text', 'model', 'false', 'falsely', 'falseness']",computer game,17,10,2019,precovid
1478,Report: AI may increase sales of home security systems,2019-10-17,"['home security', 'service', 'ai', 'expo']",speech generating device,17,10,2019,precovid
1479,Study highlights just how poor AIs are at recognising non-cisgender people,2019-10-18,"['ai', 'gender', 'like', 'image', 'expo']",deep learning,18,10,2019,precovid
1480,Computer science in service of medicine,2019-10-18,"['carpenter', 'mit', 'learned', 'learning', 'native', 'drug']",named-entity extraction,18,10,2019,precovid
1481,"At an Outback Steakhouse Franchise, Surveillance Blooms",2019-10-19,"['presto', 'technology', 'like', 'manager', 'manages', 'table']",natural language processing,19,10,2019,precovid
1482,These Startups Are Building Tools to Keep an Eye on AI,2019-10-21,"['company', 'ai', 'machine', 'sullivan', 'problem']",machine learning,21,10,2019,precovid
1483,WIC: Baidu CEO remains bullish of company’s AI investments,2019-10-21,"['baidu', 'li', 'company ai', 'expo']",artificial life,21,10,2019,precovid
1484,British astrophysicist Sir Martin Rees calls for a living wage in the AI era,2019-10-22,"['rees', 'ai', 'expo', 'job', 'like', 'likely']",silent speech interface,22,10,2019,precovid
1485,"Pentagon is ‘falling behind’ in military AI, claims former NSWC chief",2019-10-23,"['ai', 'robot', 'robotic', 'expo', 'williams', 'security', 'secure']",robotics,23,10,2019,precovid
1486,A Health Care Algorithm Offered Less Care to Black Patients,2019-10-24,"['patient', 'algorithm', 'algorithmic', 'health', 'hospital', 'effectively', 'effect']",named-entity extraction,24,10,2019,precovid
1487,Now the Machines Are Learning How to Smell,2019-10-24,"['molecule', 'researcher', 'research', 'smell', 'like', 'google']",semantic search,24,10,2019,precovid
1488,Can License Plate Readers Really Reduce Crime?,2019-10-24,"['say', 'flock', 'police', 'crime', 'reader']",cybernetics,24,10,2019,precovid
1489,Google Search Now Reads at a Higher Level,2019-10-25,"['google search', 'language', 'bert', 'software']",natural language processing,25,10,2019,precovid
1490,Supercomputer analyzes web traffic across entire internet,2019-10-27,"['data', 'model', 'network', 'traffic', 'researcher', 'research']",semantic search,27,10,2019,precovid
1491,Helping autonomous vehicles see around corners,2019-10-27,"['detect', 'detects', 'detectable', 'detecting', 'detection', 'detected', 'image', 'researcher', 'research', 'shadowcam', 'shadow']",object recognition,27,10,2019,precovid
1492,AI project greenlit after reducing A&E attendances by a third,2019-10-28,"['patient', 'hospital', 'e', 'expo', 'admission']",named-entity extraction,28,10,2019,precovid
1493,How to Keep Your Smart Assistant Voice Recordings Private,2019-10-29,"['delete', 'deletion', 'deleting', 'alexa', 'apple siri', 'recorded', 'recording']",intelligent agent,29,10,2019,precovid
1494,Google Cloud AI Platform updates make it ‘faster and more flexible’,2019-10-29,"['data', 'ai platform', 'expo', 'prediction']",pattern recognition,29,10,2019,precovid
1495,"Self-transforming robot blocks jump, spin, flip, and identify each other",2019-10-30,"['block', 'robot', 'robotics', 'robotic cube', 'team', 'module']",robotics,30,10,2019,precovid
1496,AI May Not Kill Your Job—Just Change It,2019-10-31,"['job', 'work worker', 'say', 'ai']",artificial life,31,10,2019,precovid
1497,A Tech Group Suggests Limits for the Pentagon’s Use of AI,2019-10-31,"['ai', 'pentagon', 'military', 'principle', 'technology']",virtual reality,31,10,2019,precovid
1498,What makes an image memorable? Ask a computer,2019-11-01,"['image', 'memorable', 'memorability', 'say', 'generate', 'generative', 'generator', 'study']",pattern recognition,1,11,2019,precovid
1499,ABI Research: USA reclaims the top spot from China for AI investments,2019-11-01,"['ai investment', 'china', 'invest', 'u', 'expo']",automatic number plate recognition,1,11,2019,precovid
1500,Autonomous system improves environmental sampling at sea,2019-11-04,"['robotic', 'robot', 'path', 'plume', 'sampling', 'sample', 'maximum']",robotics,4,11,2019,precovid
1501,Better autonomous “reasoning” at tricky intersections,2019-11-04,"['car', 'model', 'modeling', 'traffic intersection', 'researcher', 'research']",information extraction,4,11,2019,precovid
1502,Samsung boosts AI and 5G investments to ‘lay the ground’ for innovation,2019-11-05,"['ai g', 'samsung', 'expo', 'leader']",deep learning,5,11,2019,precovid
1503,Materials Day talks examine the promises and challenges of AI and machine learning,2019-11-05,"['material', 'said', 'new', 'synthesis', 'work', 'worked', 'working']",virtual reality,5,11,2019,precovid
1504,3 Questions: When the student becomes the teacher,2019-11-05,"['climate change', 'program', 'presentation', 'present', 'resource']",semantic translation,5,11,2019,precovid
1505,Report: The Government and Tech Need to Cooperate on AI,2019-11-05,"['u', 'ai', 'monday', 'commission', 'say']",computer vision,5,11,2019,precovid
1506,Applause’s new AI solution helps tackle bias and sources data at scale,2019-11-06,"['ai', 'voice', 'simonini', 'like', 'likely', 'applause']",handwriting recognition,6,11,2019,precovid
1507,Nvidia comes out on top in first MLPerf inference benchmarks,2019-11-07,"['nvidia', 'ai', 'inference performance', 'expo']",silent speech interface,7,11,2019,precovid
1508,Driving toward a healthier planet,2019-11-07,"['battery', 'material', 'storey', 'toyota', 'tri']",automation,7,11,2019,precovid
1509,Visualizing an AI model’s blind spots,2019-11-08,"['gans', 'gan', 'bau', 'image', 'researcher', 'say']",game artificial intelligence,8,11,2019,precovid
1510,Oasis Labs' Dawn Song on a Safer Way to Protect Your Data,2019-11-08,"['data', 'song', 'company', 'idea', 'new']",knowledge management,8,11,2019,precovid
1511,AI Researcher Anca Dragan on Helping Robots Understand Humans,2019-11-08,"['human robot', 'avoid', 'avoided', 'dragan', 'say']",automation,8,11,2019,precovid
1512,The Pursuit of Creativity Can Make Algorithms Much Smarter,2019-11-10,"['picbreeder', 'image', 'stanley', 'car', 'evolving', 'evolved', 'evolve']",cognitive,10,11,2019,precovid
1513,"Report: UK leads AI developments in Europe, Iran in Middle-East",2019-11-11,"['ai', 'expo', 'u', 'iran', 'ranking', 'ranked', 'rank']",handwriting recognition,11,11,2019,precovid
1514,Deepfake has Johnson and Corbyn advocating each other for Britain’s next PM,2019-11-12,"['deepfake', 'deepfakes', 'medium', 'twitter', 'content', 'uk']",pattern recognition,12,11,2019,precovid
1515,Microsoft Sends a New Kind of AI Processor Into the Cloud,2019-11-13,"['ai chip', 'graphcore', 'company', 'hardware']",artificial life,13,11,2019,precovid
1516,"Like Y Combinator, but for Hollywood Scripts",2019-11-13,"['impact', 'writer', 'mitchell', 'industry', 'application', 'applicant']",activity recognition,13,11,2019,precovid
1517,Project Nightingale: Google denies using private health data for its AI research,2019-11-13,"['google', 'health data', 'expo', 'patient']",named-entity extraction,13,11,2019,precovid
1518,Gaming legend John Carmack is stepping back at Oculus to focus on AI,2019-11-14,"['carmack', 'ai', 'worked', 'working', 'work', 'expo', 'industry']",artificial life,14,11,2019,precovid
1519,Moveworks raises $75m in series B funding to accelerate conversational AI for IT support,2019-11-15,"['ai', 'expo', 'support', 'round', 'moveworks']",artificial life,15,11,2019,precovid
1520,Why Is Google Slow-Walking Its Breakthroughs in AI?,2019-11-17,"['google', 'company', 'service', 'celebrity', 'ai']",cybernetics,17,11,2019,precovid
1521,How Facebook’s Anti-Revenge Porn Tools Failed Katie Hill,2019-11-18,"['hill', 'image', 'photo', 'facebook', 'published', 'publisher', 'publish']",game artificial intelligence,18,11,2019,precovid
1522,Predicting people's driving personalities,2019-11-18,"['driving car', 'driver', 'team', 'human', 'drive']",handwriting recognition,18,11,2019,precovid
1523,LG ThinQ: Our experience with AI so far and what’s next for the industry,2019-11-18,"['lg', 'ai', 'product', 'helpful', 'help', 'helped', 'technology']",object recognition,18,11,2019,precovid
1524,Students push to speed up artificial intelligence adoption in Latin America,2019-11-19,"['mit', 'ai developing country', 'developed', 'development', 'develop', 'say']",automatic number plate recognition,19,11,2019,precovid
1525,Bot can beat humans in multiplayer hidden-role games,2019-11-19,"['player', 'game', 'gaming', 'bot', 'playing', 'play', 'played', 'action']",information extraction,19,11,2019,precovid
1526,"To See the Future of Disinformation, You Build Robo-Trolls",2019-11-19,"['software', 'say', 'saying', 'text', 'blazakis', 'researcher', 'research']",semantic search,19,11,2019,precovid
1527,Microtasks Might Be the Future of White-Collar Work,2019-11-19,"['work', 'working', 'worked', 'microsoft research', 'researcher', 'microtasks', 'microtask', 'like', 'liked']",handwriting recognition,19,11,2019,precovid
1528,Japan will welcome Pope Francis with a song partly composed by AI,2019-11-20,"['ai', 'expo', 'song', 'technology', 'technological', 'pope']",facial recognition,20,11,2019,precovid
1529,Alphabet's Dream of an 'Everyday Robot' Is Just Out of Reach,2019-11-21,"['robot', 'x', 'project', 'trash', 'make']",robotics,21,11,2019,precovid
1530,F-Secure details nature-inspired AI project harnessing ‘swarm intelligence’,2019-11-21,"['ai', 'agent', 'intelligence', 'intelligent', 'security', 'f secure']",intelligent agent,21,11,2019,precovid
1531,Researchers Want Guardrails to Help Prevent Bias in AI,2019-11-21,"['algorithm', 'algorithmically', 'ai', 'bias', 'biased', 'learning', 'image']",deep learning,21,11,2019,precovid
1532,"Do you even AI, bro? OpenAI Safety Gym enhances reinforcement learning",2019-11-22,"['openai', 'learn', 'learning agent', 'collision', 'expo']",machine learning,22,11,2019,precovid
1533,MIT conference focuses on preparing workers for the era of artificial intelligence,2019-11-22,"['ai', 'job', 'technological', 'technology', 'human', 'mit']",object recognition,22,11,2019,precovid
1534,Text-Savvy AI Is Here to Write Fiction,2019-11-23,"['kazemi', 'novel', 'tweet', 'tweeted', 'generation', 'generate', 'generated', 'trained', 'training']",handwriting recognition,23,11,2019,precovid
1535,Opinion: AI for software development is already here,2019-11-25,"['ai', 'developer', 'development', 'developed', 'code', 'coding', 'test', 'testing', 'automation', 'automated', 'automating']",automation,25,11,2019,precovid
1536,MIT art installation aims to empower a more discerning public,2019-11-25,"['deepfakes', 'deepfake', 'public', 'installation', 'installed', 'misinformation', 'speech']",information extraction,25,11,2019,precovid
1537,Tainted Data Can Teach Algorithms the Wrong Lessons,2019-11-25,"['algorithm', 'li', 'reinforcement', 'training', 'train', 'example']",semantic translation,25,11,2019,precovid
1538,3 Questions: Dan Huttenlocher on the formation of the MIT Schwarzman College of Computing,2019-11-26,"['college computing', 'mit', 'working', 'work', 'worked', 'plan', 'planning']",speech recognition,26,11,2019,precovid
1539,AI Innovators Should Be Listening to Kids,2019-11-26,"['ai', 'youth', 'technology', 'technological', 'like', 'people']",facial recognition,26,11,2019,precovid
1540,GE Healthcare’s new initiative aims to boost AI adoption by health providers,2019-11-27,"['ai', 'data', 'healthcare', 'edison', 'new']",artificial life,27,11,2019,precovid
1541,Sleepwalkers Podcast: Rethinking Our Relationship With AI,2019-11-27,"['ai', 'technology', 'technological', 'u', 'algorithm', 'algorithmic', 'harris']",facial recognition,27,11,2019,precovid
1542,Wyze is ‘temporarily’ axing its AI-powered person detection,2019-11-28,"['wyze', 'ai', 'expo', 'feature', 'camera']",artificial life,28,11,2019,precovid
1543,Sleepwalkers Podcast: What Happens When Machines Find Their Creative Muse,2019-11-29,"['ai', 'creativity', 'creative', 'creatively', 'like', 'machine', 'example']",machine learning,29,11,2019,precovid
1544,Sleepwalkers Podcast: Artificial Intelligence Is Watching Us and Judging Us,2019-12-01,"['ai surveillance', 'technology', 'technological', 'algorithm', 'say']",neural modeling fields ,1,12,2019,precovid
1545,Helping machines perceive some laws of physics,2019-12-02,"['object', 'model', 'researcher', 'research', 'surprise', 'surprising', 'surprised', 'physical', 'physic', 'physically']",semantic search,2,12,2019,precovid
1546,Senators Protest a Health Algorithm Biased Against Black People,2019-12-03,"['bias', 'algorithm', 'algorithmic', 'health', 'patient', 'study']",named-entity extraction,3,12,2019,precovid
1547,Amazon makes three major AI announcements during re:Invent 2019,2019-12-03,"['amazon', 'aws', 'kubernetes deepcomposer', 'expo']",speech generating device,3,12,2019,precovid
1548,Facebook's Head of AI Says the Field Will Soon ‘Hit the Wall’,2019-12-04,"['ai', 'facebook', 'people', 'company', 'new']",artificial life,4,12,2019,precovid
1549,Experts discuss the current biggest threats posed by AI,2019-12-04,"['threat ai', 'fake', 'expo', 'believe', 'believable', 'believing']",automatic target recognition,4,12,2019,precovid
1550,Teaching Self-Driving Cars to Watch for Unpredictable Humans,2019-12-04,"['say', 'robot', 'robotics', 'human', 'traveling', 'travel', 'driving']",robotics,4,12,2019,precovid
